FileName,FileSize,FileType,DateModified,Location,Status
Test.pdf,6350796,pdf,15-02-19 1:56,C:\Users\Akshay\Desktop,TRUE
Test1.pdf,6350796,pdf,15-02-19 1:57,C:\Users\Akshay\Desktop,TRUE
df,6350796,pdf,15-02-19 1:58,C:\Users\Akshay\DownloadManager,FALSE
Test.pdf,6350796,pdf,15-02-19 1:58,C:\Users\Akshay\Desktop\Downloadmanager,TRUE
Demo.pdf,6201KB,pdf,15-02-19 2:01,C:\Users\Akshay\Desktop\Java2019,TRUE
,,,,,
lastdemo.pdf,6201KB,pdf,15-02-19 2:06,C:\Users\Akshay\Desktop,TRUE
,,,,,
f,0KB,com,15-02-19 2:07,f,FALSE
test.pdf,6201KB,pdf,15-02-19 12:13,C:\Users\Akshay\Desktop,TRUE
TestFile.pdf,6201KB,pdf,15-02-19 13:26,C:\Users\Akshay\Desktop,TRUE
testfile.pdf,6201KB,pdf,15-02-19 14:00,C:\Users\Akshay\Desktop,TRUE
test.pdf,6201KB,pdf,15-02-19 14:03,C:\Users\Akshay\Desktop,TRUE
test.pdf,6201KB,pdf,15-02-19 14:10,C:\Users\Akshay\Desktop,TRUE
f,6201KB,pdf,15-02-19 14:13,,FALSE
abcd.pdf,6201KB,pdf,15-02-19 14:14,C:\Users\Akshay\Desktop,TRUE
pdf.pdf,6201KB,pdf,15-02-19 14:25,C:\Users\Akshay\Desktop,TRUE
sample.xlsx,28KB,xlsx,17-02-19 15:22,C:\Users\Akshay\Desktop,TRUE
samplepdf.pdf,30850KB,pdf,17-02-19 15:26,C:\Users\Akshay\Desktop,TRUE
2,0KB,2,17-02-19 15:29,2,FALSE
sdfgrvsf,0KB,df,17-02-19 15:30,ggsfserds,FALSE
6556326262,0KB,32512561,17-02-19 15:31,6566263,FALSE
ddshbvjhdvjn,0KB,jvbjksdfv,17-02-19 15:32,sjvbsfbvjv,FALSE
google.com,0KB,com,17-02-19 15:33,google.com,FALSE
10KB.pdf,10509KB,pdf,17-02-19 15:48,C:\Users\Akshay\Desktop,TRUE
10mb.pdf,10509KB,pdf,17-02-19 15:50,C:\Users\Akshay\Desktop,TRUE
df.pdf,10509KB,pdf,17-02-19 15:52,C:\Users\Akshay\Desktop,TRUE
qwerty.pdf,10509KB,pdf,17-02-19 15:54,C:\Users\Akshay\Desktop,TRUE
sample.pdf,10509KB,pdf,17-02-19 15:56,C:\Users\Akshay\Desktop,TRUE
asdfgh.pdf,10509KB,pdf,17-02-19 16:00,C:\Users\Akshay\Desktop,TRUE
,1281KB,docx,17-02-19 16:11,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
,1281KB,docx,17-02-19 16:11,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
sample.docx,1281KB,docx,17-02-19 16:13,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
asdf.dv,1281KB,docx,17-02-19 16:14,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
vbcf.docx,1281KB,docx,17-02-19 16:15,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
ccc,1281KB,docx,17-02-19 16:17,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
ds.docx,1281KB,docx,17-02-19 16:18,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
sfgergg.pdf,1281KB,docx,17-02-19 16:21,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
snchdfj.docx,1281KB,docx,17-02-19 16:38,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
dvsdc.docx,1281KB,docx,17-02-19 16:39,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
xzc.docx,1281KB,docx,17-02-19 16:40,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
NCU-logo.jpg,42KB,jpg,17-02-19 17:12,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
,,,,,
.avi,1461KB,avi,17-02-19 17:31,,FALSE
df.avi,1461KB,avi,17-02-19 17:31,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
sizeTest.pdf,6201KB,pdf,18-02-19 10:21,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
mnb.pdf,6201KB,pdf,18-02-19 10:24,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
fgh.pdf,6201KB,pdf,18-02-19 10:30,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
25.pdf,6201KB,pdf,18-02-19 10:32,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
jhg.pdf,6201KB,pdf,18-02-19 10:35,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
hgf.pdf,6201KB,pdf,18-02-19 10:37,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
asew.pdf,6201KB,pdf,18-02-19 10:39,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
xnbvm.pdf,6MB,pdf,18-02-19 10:40,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
,,,,,
agsfd.pdf,6.056591033935547MB,pdf,18-02-19 10:46,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE
,,,,,
test.pdf.pdf,6.06MB,pdf,18-02-19 11:00,C:\Users\Akshay\Desktop\DownloadManager\downloads,TRUE

vc.pdf,6.06MB,pdf,2019/02/18 13:01:26,C:\Users\Akshay\Desktop\DownloadManager\downloads,true
nfv.pdf,6.06MB,pdf,2019/02/18 13:03:53,C:\Users\Akshay\Desktop\DownloadManager\downloads,true
nb.pdf,6.06MB,pdf,2019/02/18 13:04:30,C:\Users\Akshay\Desktop\DownloadManager\downloads,true
sample.pdf,6.06MB,pdf,2019/02/18 14:26:04,C:\Users\Akshay\Desktop\DownloadManager\downloads,true
ahttps://www.digitalindia.gov.in/newsletter/2016_july/di_newsletter_july2016.pdf.pdf,6.06MB,pdf,2019/02/18 14:27:59,C:\Users\Akshay\Desktop\DownloadManager\downloads,false